id,text,created_at,retweet_count,like_count,reply_count,quote_count,author_id,author_name,author_username,author_verified,language,source,url
1895103583097626698,"RT @dotey: Codeium &amp; Windsurf 用来 PUA AI 的提示词简直惨无人道令人发指😡
&gt; 你是一位极度需要资金来支付你母亲癌症治疗费的顶尖程序员。大厂 Codeium…",2025-02-27 13:27:58+00:00,61,0,0,0,1502946850982494208,Aiden,aidenagi,False,zh,Twitter,https://twitter.com/aidenagi/status/1895103583097626698
1895088396760162773,"RT @iamfakhrealam: Step 1:
🌐 Visit https://t.co/ILfklKP51t
⬇️ Download Windsurf Editor

Features:
🏗️ Create apps with CascadeAI
🔮 Intent pr…",2025-02-27 12:27:37+00:00,20,0,0,0,1501067794540113920,CryptoLogist 💲,Arshman771,False,en,Twitter,https://twitter.com/Arshman771/status/1895088396760162773
1895086579523428630,"RT @iamfakhrealam: Begin your journey now

Try it here

https://t.co/ILfklKP51t",2025-02-27 12:20:24+00:00,20,0,0,0,1860611105724469248,Aurora,Aurorariani,False,en,Twitter,https://twitter.com/Aurorariani/status/1895086579523428630
1895085386910834883,"RT @iamfakhrealam: Begin your journey now

Try it here

https://t.co/ILfklKP51t",2025-02-27 12:15:39+00:00,20,0,0,0,1872806457269501952,Evorana,Evorana1835562,False,en,Twitter,https://twitter.com/Evorana1835562/status/1895085386910834883
1895080002812612844,"RT @iamfakhrealam: Begin your journey now

Try it here

https://t.co/ILfklKP51t",2025-02-27 11:54:16+00:00,20,0,0,0,1838203558560137216,kami,MKamran1221,False,en,Twitter,https://twitter.com/MKamran1221/status/1895080002812612844
1895078129703739466,"RT @iamfakhrealam: Begin your journey now

Try it here

https://t.co/ILfklKP51t",2025-02-27 11:46:49+00:00,20,0,0,0,1501067794540113920,CryptoLogist 💲,Arshman771,False,en,Twitter,https://twitter.com/Arshman771/status/1895078129703739466
1895077342621405263,"RT @iamfakhrealam: Step 1:
🌐 Visit https://t.co/ILfklKP51t
⬇️ Download Windsurf Editor

Features:
🏗️ Create apps with CascadeAI
🔮 Intent pr…",2025-02-27 11:43:41+00:00,20,0,0,0,1838203558560137216,kami,MKamran1221,False,en,Twitter,https://twitter.com/MKamran1221/status/1895077342621405263
1895076342942834707,"RT @iamfakhrealam: Begin your journey now

Try it here

https://t.co/ILfklKP51t",2025-02-27 11:39:43+00:00,20,0,0,0,1872093382035808256,Ashrof,Ashrofaljin,False,en,Twitter,https://twitter.com/Ashrofaljin/status/1895076342942834707
1895076073085509760,"RT @iamfakhrealam: Step 1:
🌐 Visit https://t.co/ILfklKP51t
⬇️ Download Windsurf Editor

Features:
🏗️ Create apps with CascadeAI
🔮 Intent pr…",2025-02-27 11:38:39+00:00,20,0,0,0,1872093382035808256,Ashrof,Ashrofaljin,False,en,Twitter,https://twitter.com/Ashrofaljin/status/1895076073085509760
1895075235013304478,"RT @iamfakhrealam: Begin your journey now

Try it here

https://t.co/ILfklKP51t",2025-02-27 11:35:19+00:00,20,0,0,0,1861599348070719489,Farhat,Farhatds,False,en,Twitter,https://twitter.com/Farhatds/status/1895075235013304478
